intent,text
OTHER,solve this math problem
REJECT,I want to actually no
GREETING,Can you hey what's up
CHITCHAT,HOW'S IT GOING
GREETING,Hi I'm looking for help
GREETING,Can you sup
CHITCHAT,How are you?
GOODBYE,Cheers?
CHITCHAT,How do you feel
MOVIE_QUERY,4K movies
GREETING,morning
MOVIE_QUERY,Surprise ending movies
CHITCHAT,How do you work
OTHER,Book a flight?
GREETING,HELLO HOW ARE YOU DOING
GREETING,GREETINGS
GREETING,I want to good morning
MOVIE_QUERY,Top rated movies?
MOVIE_QUERY,Need movie suggestions?
MOVIE_QUERY,Academy Award winners
CHITCHAT,Cool
CHITCHAT,Where are you from
CHITCHAT,Fine
REJECT,I want to cancel
GOODBYE,Until next time!
CHITCHAT,What are you up to?
OTHER,translate this
OTHER,History fact!
CHITCHAT,Can you what's up
CHITCHAT,You're awesome
OTHER,I want to solve this math problem
GREETING,I want to hello
MOVIE_QUERY,Book adaptations
OTHER,Car repair
CHITCHAT,Do you get tired
OTHER,Fitness advice
OTHER,I want to buy groceries
OTHER,Fix my computer?
CHITCHAT,WHAT CAN YOU DO
REJECT,nevermind
REJECT,I want to i don't like it
GOODBYE,UNTIL NEXT TIME
GOODBYE,CYA
GOODBYE,TTYL
MOVIE_QUERY,Golden Globe films
GOODBYE,I want to see you later
GOODBYE,Goodbye!
OTHER,Debug this code
REJECT,Nope
GREETING,Howdy
MOVIE_QUERY,LOOKING FOR A MOVIE
REJECT,I'll pass
GREETING,Hello there
MOVIE_QUERY,Best comedy films
OTHER,What's 2 plus 2?
GOODBYE,Cheers
GOODBYE,catch you later
MOVIE_QUERY,I want to what's a good action movie
CHITCHAT,Do you have a name
REJECT,Not for me!
CHITCHAT,who are you
MOVIE_QUERY,Recent blockbusters!
REJECT,Forget it!
GREETING,Hi!
REJECT,That's enough
OTHER,Can you translate this
CHITCHAT,What's up?
CHITCHAT,Do you like films
GOODBYE,Thanks bye
CHITCHAT,What time is it
OTHER,Cat behavior
OTHER,Find me a hotel!
GREETING,Good evening!
CHITCHAT,I want to how are you doing
CHITCHAT,Exactly
GREETING,Greetings assistant
GOODBYE,See you soon
CHITCHAT,Tell me about yourself!
REJECT,No thanks?
REJECT,Not interested in that!
GREETING,Hey?
MOVIE_QUERY,Looking for a movie!
OTHER,WHAT'S THE CAPITAL OF FRANCE
CHITCHAT,Random fact
REJECT,Can you i changed my mind
GOODBYE,Can you farewell
MOVIE_QUERY,WHAT'S POPULAR RIGHT NOW
GOODBYE,see you
GOODBYE,Can you catch you later
CHITCHAT,When were you created
GOODBYE,Can you have a good one
GOODBYE,I want to take care
REJECT,Cancel?
GREETING,Hello world
GREETING,Can you morning
GREETING,Hey can you recommend something
MOVIE_QUERY,2000s movies
GOODBYE,BYE
GREETING,Hello
GOODBYE,That was helpful bye
MOVIE_QUERY,Can you show me drama movies
REJECT,This isn't working
CHITCHAT,What's your name?
GREETING,Greetings friend
GREETING,hi
MOVIE_QUERY,recommend me a movie
GREETING,I want to hello there
MOVIE_QUERY,top rated movies
GOODBYE,Can you peace
OTHER,Debug this code!
OTHER,How to grow tomatoes
MOVIE_QUERY,SUGGEST A GOOD FILM
CHITCHAT,Are you intelligent
REJECT,Can you forget it
GOODBYE,Appreciate it bye
OTHER,Asdfghjkl
OTHER,Exercise plan
OTHER,Nothing
CHITCHAT,Tell me about yourself
OTHER,ADD TO CART
MOVIE_QUERY,Fantasy adventures
OTHER,Buy groceries!
GREETING,howdy
MOVIE_QUERY,Award winning films!
GREETING,MORNING
MOVIE_QUERY,What's the best movie ever
GOODBYE,farewell
OTHER,History fact
MOVIE_QUERY,What's a good action movie?
CHITCHAT,What can you do
MOVIE_QUERY,Meryl Streep movies
CHITCHAT,how do you work
REJECT,I don't like it
GREETING,Hi how are you!
GREETING,What's up!
CHITCHAT,Are you smart
OTHER,News today
GOODBYE,Have a good one?
GREETING,HEY THERE
OTHER,Can you write a program
GOODBYE,peace
GREETING,Yo?
GREETING,Good evening
MOVIE_QUERY,Remastered films
OTHER,Can you debug this code
OTHER,Order pizza?
GOODBYE,PEACE
MOVIE_QUERY,Recent blockbusters
GOODBYE,Got what I needed thanks bye
MOVIE_QUERY,Looking for a movie
GREETING,I want to good evening
OTHER,Tell me about dinosaurs
MOVIE_QUERY,RECOMMEND ME A MOVIE
CHITCHAT,What are you doing!
REJECT,I want to forget it
REJECT,ON SECOND THOUGHT NO
GOODBYE,See you later?
CHITCHAT,You're great
OTHER,DEBUG THIS CODE
OTHER,reserve a table
REJECT,Can you i don't want that
GREETING,Hiya
MOVIE_QUERY,3D films
OTHER,Speak Spanish
OTHER,CODE IN PYTHON
REJECT,Can you no thanks
OTHER,Learn French!
MOVIE_QUERY,Solo watching recommendations
GREETING,Hey there
GOODBYE,HAVE A GOOD ONE
CHITCHAT,ARE YOU AI
CHITCHAT,Where do you live
GOODBYE,CHEERS
OTHER,GEOGRAPHY QUESTION
GREETING,WHAT'S UP
GREETING,I want to hey there
GREETING,Hello I just started using this
GOODBYE,CATCH YOU LATER
MOVIE_QUERY,BEST COMEDY FILMS
GOODBYE,I want to bye bye
REJECT,on second thought no
GOODBYE,I'll be going now
GREETING,Hello can you help me
GREETING,Morning?
CHITCHAT,How do you work!
MOVIE_QUERY,I like science fiction
OTHER,Learn French?
OTHER,Science experiment
CHITCHAT,How old are you?
MOVIE_QUERY,show me drama movies
CHITCHAT,Thank you
REJECT,Can you on second thought no
GOODBYE,GOTTA GO
REJECT,Quit
GREETING,Can you evening
GOODBYE,Bye bye!
GOODBYE,Cya
CHITCHAT,Do you drink
CHITCHAT,Do you recall our conversation
REJECT,I'm not ready
MOVIE_QUERY,Films with amazing music
OTHER,Chemistry help
GREETING,Good to see you
REJECT,FORGET IT
MOVIE_QUERY,Best movies of 2020
MOVIE_QUERY,i want to watch something
CHITCHAT,What did I say earlier
CHITCHAT,You helped me
OTHER,Can you find me a hotel
MOVIE_QUERY,Contemporary films
OTHER,Translate this?
CHITCHAT,Tell me a joke
GREETING,good afternoon
CHITCHAT,how are you doing
CHITCHAT,I want to are you a robot
GREETING,I want to what's up
GREETING,Hello assistant
REJECT,Give me something else
OTHER,learn french
GREETING,sup
OTHER,What to wear
MOVIE_QUERY,Trilogies
REJECT,Not now
GOODBYE,Peace?
GREETING,Can you greetings
OTHER,what's the capital of france
REJECT,Cancel!
OTHER,Where should I travel
CHITCHAT,Are you AI
OTHER,Bitcoin value
GOODBYE,Cheers!
MOVIE_QUERY,What should I watch
GOODBYE,Bye!
GREETING,Hello how are you doing!
CHITCHAT,Great
CHITCHAT,Are you AI!
REJECT,Forget it?
MOVIE_QUERY,Tom Hanks films
CHITCHAT,Do you have a name!
GREETING,Hey!
