intent,text
MOVIE_QUERY,Please what are the top rated dramas?
MOVIE_QUERY,Can you what's the plot of interstellar??
CHITCHAT,Tell me about yourself
MOVIE_QUERY,Tell me recommend a romantic movie
GOODBYE,"Have a great day, that was helpful"
GOODBYE,"Thanks, sleep well"
MOVIE_QUERY,Tell me give me some horror movie suggestions
MOVIE_QUERY,Give me thriller recommendations?
MOVIE_QUERY,Please what are some good drama films?
GOODBYE,Sweet dreams
GOODBYE,Ok have a great day
GOODBYE,"Alright, ttyl"
GOODBYE,Ok au revoir
OTHER,Tell me about politics
REJECT,"That's incorrect, I mean something else"
MOVIE_QUERY,I need a movie for tonight?
GOODBYE,"See ya, that was helpful"
MOVIE_QUERY,I want to know recommend me a movie
MOVIE_QUERY,Please what are brad pitt's best movies?
OTHER,How to learn programming?
CHITCHAT,Quick question: i'm tired
CHITCHAT,"Hey, what are your capabilities?"
MOVIE_QUERY,Give me some horror movie suggestions?
CHITCHAT,Quick question: do you like movies?
REJECT,"No, that's not right"
MOVIE_QUERY,What are the latest blockbusters??
REJECT,"I'm not interested, I mean something else"
MOVIE_QUERY,Please what are the highest rated movies?
OTHER,How to learn languages?
MOVIE_QUERY,Please show me leonardo dicaprio films
REJECT,"Cancel, try again"
GREETING,Ciao!
GOODBYE,"Take care, that was helpful"
MOVIE_QUERY,Please show me movies with rating above 8
GREETING,Oh afternoon
MOVIE_QUERY,What's a good movie to watch?
GREETING,Hello there
MOVIE_QUERY,What are some good drama films?
GREETING,Hey you there
MOVIE_QUERY,I want to watch a thriller?
CHITCHAT,"Hey, i'm tired"
CHITCHAT,Quick question: make me laugh
REJECT,Don't want it!
CHITCHAT,Quick question: what are you?
MOVIE_QUERY,What are the best sci-fi movies??
GREETING,Hey chatbot
MOVIE_QUERY,Please what are good mystery films?
GOODBYE,Cya
MOVIE_QUERY,I want to know show me leonardo dicaprio films
MOVIE_QUERY,Can you what are the highest rated movies??
MOVIE_QUERY,Can you recommend a comedy?
MOVIE_QUERY,Please what did christopher nolan direct?
MOVIE_QUERY,I'm looking for movie recommendations
CHITCHAT,Quick question: what can you do?
GOODBYE,Bye for now!
GOODBYE,"Have a good day, that was helpful"
REJECT,No!
GOODBYE,"I need to leave, thanks for your help"
REJECT,I disagree
REJECT,"No way, try again"
GOODBYE,"Alright, cheers"
GREETING,Oh greetings
REJECT,"That's not what I want, try again"
MOVIE_QUERY,Please recommend recent films
CHITCHAT,Do you like movies??
MOVIE_QUERY,What movies has Tom Hanks been in?
MOVIE_QUERY,Tell me give me thriller recommendations
MOVIE_QUERY,Show me action movies
MOVIE_QUERY,I want to know what year was titanic released?
MOVIE_QUERY,What movies has Tom Hanks been in??
GREETING,Oh konnichiwa
REJECT,"Absolutely not, that's not right"
MOVIE_QUERY,Who directed The Godfather??
MOVIE_QUERY,Recommend movies with Morgan Freeman?
MOVIE_QUERY,Recommend recent films
MOVIE_QUERY,I want to watch a thriller?
GREETING,Hello there there
GREETING,Konnichiwa there
REJECT,"Cancel that, I mean something else"
REJECT,"Never mind, try again"
GOODBYE,Have a great day
GREETING,Aloha!!
GREETING,"Bonjour, can you help me?"
CHITCHAT,"Hey, what can you do?"
GOODBYE,Sleep well
MOVIE_QUERY,Please what genre is fight club?
REJECT,Move on
GOODBYE,Talk to you later!!
GOODBYE,Au revoir!
MOVIE_QUERY,Can you suggest some old movies?
MOVIE_QUERY,Please what's the rating of inception?
GOODBYE,"Thanks, good night"
MOVIE_QUERY,Tell me what are the best war movies?
MOVIE_QUERY,What's the rating of Inception?
GREETING,Bonjour!
GREETING,How do you do
MOVIE_QUERY,What did Christopher Nolan direct??
MOVIE_QUERY,List some crime movies
GREETING,"What's up, I need help"
OTHER,Tell me about space
MOVIE_QUERY,Please what did christopher nolan direct?
REJECT,Skip that!
OTHER,Explain quantum physics
GREETING,"Hi assistant, can you help me?"
REJECT,"Next, try again"
GREETING,Bonjour!
GREETING,Hey there there
GREETING,Oh sup
MOVIE_QUERY,Who stars in Pulp Fiction?
GOODBYE,"Thanks, i need to leave"
GREETING,"Hiya, I need help"
REJECT,"Skip, try again"
GOODBYE,Ok farewell
REJECT,No thanks!
GREETING,Hi!!
CHITCHAT,Quick question: make me laugh
GOODBYE,"Alright, ciao"
MOVIE_QUERY,What are the best war movies??
MOVIE_QUERY,I want to know who stars in pulp fiction?
MOVIE_QUERY,Tell me what are the top 10 movies?
GOODBYE,Ok take care
MOVIE_QUERY,Tell me list comedy films
GOODBYE,"Sayonara, thanks for your help"
MOVIE_QUERY,Can you what are the best movies from the 90s??
MOVIE_QUERY,Can you show me action movies?
MOVIE_QUERY,Can you i need a movie for tonight?
OTHER,What's the capital of France?
REJECT,That's wrong!
CHITCHAT,Are you intelligent?
GOODBYE,Ok cheers
GOODBYE,Ok bye
GREETING,"Good morning, how are you?"
MOVIE_QUERY,What movies has Tom Hanks been in??
MOVIE_QUERY,Show me Leonardo DiCaprio films?
MOVIE_QUERY,Tell me what are the highest rated movies?
MOVIE_QUERY,I want to know what are the best war movies?
MOVIE_QUERY,What are the highest rated movies??
REJECT,"That's wrong, try again"
REJECT,Cancel that
GREETING,Hello bot there
MOVIE_QUERY,I want to know recommend movies with morgan freeman
GOODBYE,Gotta go!
GREETING,Morning there
CHITCHAT,"Hey, how are you doing?"
OTHER,What's the capital of France?
MOVIE_QUERY,Can you what are good 2000s movies??
GREETING,Hi there!!
GOODBYE,Have a great day
GREETING,Pleased to meet you!!
REJECT,"Not good, try again"
MOVIE_QUERY,Tell me what are the top rated dramas?
MOVIE_QUERY,List some crime movies?
MOVIE_QUERY,Tell me can you suggest a good film?
GOODBYE,Au revoir!!
GREETING,Howdy!!
GOODBYE,Until we meet again!
CHITCHAT,Are you human??
MOVIE_QUERY,Please give me thriller recommendations
GOODBYE,"Farewell, that was helpful"
REJECT,"Stop, try again"
GOODBYE,"See you later, that was helpful"
GREETING,Pleased to meet you!!
GOODBYE,I have to go!!
MOVIE_QUERY,Tell me what movies has tom hanks been in?
GOODBYE,Sweet dreams!
GOODBYE,Sleep well
GREETING,Hi assistant!!
REJECT,Stop!
OTHER,Explain quantum physics
MOVIE_QUERY,Can you what are critically acclaimed films??
REJECT,"No thank you, that's not right"
MOVIE_QUERY,I want to know is the shawshank redemption good?
OTHER,Tell me about sports
MOVIE_QUERY,Please what are the highest rated movies?
REJECT,No thanks!
GOODBYE,Ok have a good day
MOVIE_QUERY,Can you what year was titanic released??
CHITCHAT,Are you human??
MOVIE_QUERY,Tell me is the shawshank redemption good?
MOVIE_QUERY,Can you recommend sci-fi films?
GREETING,"Hello AI, can you help me?"
REJECT,I don't need that!
MOVIE_QUERY,I want to know what did christopher nolan direct?
MOVIE_QUERY,I want to know what are the best war movies?
MOVIE_QUERY,Tell me about The Dark Knight?
MOVIE_QUERY,Please what are the best sci-fi movies?
GREETING,Bonjour there
MOVIE_QUERY,Please what are the top rated dramas?
MOVIE_QUERY,Can you what are critically acclaimed films??
CHITCHAT,Say something funny
MOVIE_QUERY,Tell me which movies have perfect scores?
GOODBYE,"Sayonara, thanks for your help"
GREETING,Oh namaste
GOODBYE,"Thanks, until next time"
MOVIE_QUERY,Show me action movies
GREETING,"Hello AI, can you help me?"
GOODBYE,"Cheers, that was helpful"
OTHER,How does a computer work?
GREETING,Wassup!
GOODBYE,Adios!
REJECT,"Absolutely not, that's not right"
MOVIE_QUERY,Recommend recent films
MOVIE_QUERY,What are good mystery films?
GOODBYE,Au revoir!!
REJECT,Not interested
GOODBYE,"Goodbye, that was helpful"
MOVIE_QUERY,I want to know what's a good family movie?
GREETING,Good to see you!!
MOVIE_QUERY,Can you suggest a good film?
CHITCHAT,I'm happy?
GREETING,"Hiya, can you help me?"
GOODBYE,"Bye bye, that was helpful"
GREETING,"Sup, I need help"
MOVIE_QUERY,Can you what are good mystery films??
GOODBYE,"Alright, adios"
GOODBYE,Ok take care
MOVIE_QUERY,What genre is Fight Club??
GREETING,Oh how do you do
MOVIE_QUERY,Tell me suggest some old movies
GREETING,Hi bot!
MOVIE_QUERY,Can you tell me about the dark knight?
GREETING,Morning
GREETING,"Konnichiwa, how are you?"
GOODBYE,"Thanks, bye"
CHITCHAT,Quick question: what's the weather like?
MOVIE_QUERY,Please i need a movie for tonight
GREETING,Bonjour there
